director_id,f_name,l_name,dob,age,gender,nationality,marital_status
1,Clint,Eastwood,5/31/90,85,M,US,divorced
2,Alejandro,Inarritu,8/15/63,52,M,Mexico,married
3,Martin,Scorsese,11/17/42,73,M,US,married
4,James,Marsh,4/30/63,52,M,UK,married
5,Ridley,Scott,11/30/37,78,M,UK,divorced
6,Gabriele ,Muccino,5/20/67,48,M,Italy,married
7,James,Cameron,8/16/64,61,M,Canadian,married
8,John,Wells,5/28/65,59,M,US,married
9,David,Russell,8/20/58,57,M,US,divorced
10,wash,westmoreland,3/4/66,50,M,UK,divorced