M_Award_id,M_Movie_id,year,Category,Award_type
1,1,2016,Best cinematography,Won
1,1,2016,Best Movie,Nominated
1,1,2016,Best film Editing,Nominated
1,1,2016,Best visual Effects,Nominated
2,1,2016,Best cinematography,Won
2,1,2016,Best film Editing,Nominated
1,3,2013,Best Movie,Nominated
1,3,2013,Best film Editing,Nominated
3,3,2013,Best Movie,Nominated
4,3,2013,Best Movie,Nominated
1,4,2005,Best cinematography,Won
1,4,2005,Best film Editing,Won
1,4,2005,Best Movie,Nominated
3,4,2005,Best Movie,Won
2,4,2005,Best cinematography,Nominated
2,4,2005,Best film Editing,Nominated
1,5,2016,Best Movie,Nominated
1,5,2016,Best visual Effects,Nominated
3,5,2016,Best Movie,Won
2,5,2016,Best film Editing,Nominated
5,5,2016,Best Movie,Won
1,7,2015,Best Movie,Nominated
2,7,2015,Best Movie,Nominated
3,7,2015,Best Movie,Nominated
1,9,1998,Best Movie,Won
1,9,1998,Best film Editing,Won
1,9,1998,Best cinematography,Won
1,9,1998,Best visual Effects,Won
3,9,1998,Best Movie,Won
2,9,1998,Best Movie,Nominated
2,9,1998,Best cinematography,Nominated
2,9,1998,Best film Editing,Nominated
2,9,1998,Best visual Effects,Nominated
4,9,1998,Best Movie,Nominated
1,10,2014,Best Movie,Nominated
3,10,2014,Best Movie,Nominated
2,10,2014,Best Movie,Nominated
2,10,2014,Best film Editing,Nominated
4,10,2014,Best Movie,Nominated
1,11,2005,Best Movie,Won
1,11,2005,Best film Editing,Nominated
3,11,2005,Best Movie,Nominated