production_company_id,name,ceo,foundation_date,headquaters
1,Working Title Films,Tim Bevan,1983,London
2,The Weinstein Company,Bob Weinstein,2005,NY
3,Appian Way Productions,Leonardo DiCaprio,2004,CA
4,Lakeshore Entertainment,Tom Rosenberg,1994,CA
5,Regency Enterprises,Arnon Milchan,1982,LA
6,Paramount Pictures,Brad Grey,1912,CA
7,Killer Films,Christine Vachon,1995,NY
8,"Relativity Media",Ryan Kavanaugh,2004,CA
9,The Weinstein Company,Bob Weinstein,2005,NY
10,Red Granite Pictures,Joey McFarland,2005,CA
11,Smoke House Pictures,George Clooney,2006,CA
12,20th Century Fox,Jim Gianopulos,1935,CA
13,Scott Free Productions,Tony Scott,1980,London